CodeForces average performance (100 contests, top-50):
95, 63: 0.6458612244897958, 5.153s
95, 64.5: 0.6449714285714288, 5.081s
95, 66: 0.6446775510204086, 5.042s
95, 67.5: 0.6437795918367344, 5.103s
95, 69: 0.642538775510204, 5.622s
95, 70.5: 0.6403755102040818, 5.952s
95, 72: 0.6388653061224489, 6.423s
95, 73.5: 0.6380408163265306, 7.3s
95, 75: 0.6363999999999997, 5.206s
95, 76.5: 0.6350040816326531, 5.239s
95, 78: 0.6326204081632654, 5.856s
95, 79.5: 0.6305469387755103, 6.571s
95, 81: 0.6287428571428573, 5.135s
100, 37.5: 0.6568408163265308, 5.929s
100, 39: 0.6566693877551018, 5.482s
100, 40.5: 0.6568163265306124, 5.251s
100, 42: 0.6566285714285712, 5.229s
100, 43.5: 0.6558530612244894, 5.232s
100, 45: 0.655730612244898, 5.207s
100, 46.5: 0.6553061224489796, 5.232s
100, 48: 0.6547102040816324, 5.233s
100, 49.5: 0.6543020408163264, 5.214s
100, 51: 0.6539755102040816, 5.174s
100, 52.5: 0.6527428571428573, 5.13s
100, 54: 0.6526448979591838, 5.172s
100, 55.5: 0.6524326530612243, 5.107s
100, 57: 0.6513224489795916, 5.149s
100, 58.5: 0.650669387755102, 5.138s
100, 60: 0.6502938775510205, 5.123s
100, 61.5: 0.649118367346939, 5.112s
100, 63: 0.6478530612244896, 5.081s
100, 64.5: 0.6468571428571428, 5.029s
100, 66: 0.6459836734693877, 5.121s
100, 67.5: 0.6451836734693879, 4.82s
100, 69: 0.6446285714285713, 4.804s
100, 70.5: 0.6435020408163264, 4.866s
100, 72: 0.6422204081632651, 5.734s
100, 73.5: 0.6404408163265306, 6.061s
100, 75: 0.6389061224489797, 4.924s
100, 76.5: 0.6386693877551022, 4.768s
100, 78: 0.6371265306122448, 4.731s
100, 79.5: 0.6357061224489795, 5.274s
100, 81: 0.6339346938775511, 4.787s
105, 37.5: 0.6567836734693877, 5.064s
105, 39: 0.6567510204081632, 5.023s
105, 40.5: 0.6566693877551022, 4.931s
105, 42: 0.6566448979591837, 4.951s
105, 43.5: 0.6560979591836733, 5.068s
105, 45: 0.655812244897959, 5.084s
105, 46.5: 0.6551918367346938, 4.879s
105, 48: 0.6548897959183673, 5.012s
105, 49.5: 0.6546285714285714, 6.305s
105, 51: 0.6541551020408163, 7.074s
105, 52.5: 0.6534938775510204, 8.16s
105, 54: 0.6528816326530614, 6.086s
105, 55.5: 0.6524163265306124, 5.434s
105, 57: 0.6523918367346941, 5.219s
105, 58.5: 0.6515673469387755, 5.258s
105, 60: 0.6509061224489797, 5.395s
105, 61.5: 0.6503428571428571, 5.379s
105, 63: 0.6496408163265308, 5.335s
105, 64.5: 0.6487673469387755, 5.809s
105, 66: 0.6476489795918365, 8.551s
105, 67.5: 0.6467755102040814, 5.894s
105, 69: 0.645722448979592, 5.281s
105, 70.5: 0.6449306122448979, 5.238s
105, 72: 0.6444081632653063, 5.217s
105, 73.5: 0.6430204081632652, 5.218s
105, 75: 0.6418367346938778, 5.229s
105, 76.5: 0.6408653061224492, 5.138s
105, 78: 0.639608163265306, 5.63s
105, 79.5: 0.6389714285714286, 5.578s
105, 81: 0.6374367346938773, 5.34s
110, 37.5: 0.6568816326530614, 5.415s
110, 39: 0.656465306122449, 5.417s
110, 40.5: 0.6565795918367345, 5.505s
110, 42: 0.6566938775510204, 6.417s
110, 43.5: 0.6562530612244896, 5.484s
110, 45: 0.6560979591836734, 5.293s
110, 46.5: 0.6558612244897957, 5.373s
110, 48: 0.6552571428571429, 5.308s
110, 49.5: 0.6550285714285716, 5.383s
110, 51: 0.6542938775510199, 5.397s
110, 52.5: 0.6539591836734693, 5.336s
